"Year","Total Fossil Fuels Production","Nuclear Electric Power Production","Total Renewable Energy Production","Total Primary Energy Production","Primary Energy Imports","Primary Energy Exports","Primary Energy Net Imports","Primary Energy Stock Change and Other","Total Fossil Fuels Consumption","Nuclear Electric Power Consumption","Total Renewable Energy Consumption","Total Primary Energy Consumption","Scaled Fossil Fuels Production","Scaled Nuclear Electric Power Production","Scaled Renewable Energy Production","Scaled Fossil Fuels Consumption","Scaled Nuclear Electric Power Consumption","Scaled Renewable Energy Consumption"
"2009",56.611551,8.35522,5.309146,70.275914,29.690335,6.920201,22.770132,-1.419621,77.862477,8.35522,5.292547,91.626428,0.805561219737391,0.118891658954446,0.0755471639970417,0.849781866428319,0.0911878830417792,0.0577622320931249
"2010",58.15929,8.434434,5.942579,72.536303,29.865766,8.176031,21.689736,0.915766,80.723055,8.434434,5.895684,95.141806,0.801795619498281,0.116278796287702,0.0819255842140176,0.848449891733188,0.0886511866297766,0.061967333266724
"2011",60.529498,8.268699,6.404004,75.202198,28.747982,10.372718,18.375262,0.389,79.262602,8.268699,6.308058,93.966459,0.804890011326531,0.109952889940797,0.0851571386251237,0.843520154356354,0.0879962817370824,0.0671309536097343
"2012",62.297745,8.061821,6.18697,76.546537,27.068145,11.267352,15.800796,-0.670005,77.303901,8.061821,6.150346,91.677323,0.813854518330463,0.10531921254648,0.0808262560591082,0.84321725886346,0.0879369154354562,0.0670868847250263
"2013",64.179523,8.244432,6.560782,78.984738,24.622566,11.787545,12.835019,2.433443,79.224277,8.244432,6.587017,94.253202,0.812556002907802,0.10438006390551,0.0830639205260135,0.840547326975693,0.0874711078781175,0.0698864002519511
"2014",69.618994,8.337559,6.835588,84.792143,23.240986,12.269777,10.971212,-0.428485,80.016725,8.337559,6.799026,95.334867,0.82105477626624,0.0983293817683084,0.0806158183783608,0.839322773692022,0.0874555056546101,0.0713173072345084
"2015",70.186279,8.336886,6.845927,85.369092,23.793674,12.902152,10.891522,-1.776467,79.090287,8.336886,6.829494,94.484146,0.822150937250217,0.0976569599686032,0.0801921027811799,0.837074687641247,0.0882358189489272,0.0722819043101686
"2016",65.434558,8.426753,7.188416,81.04973,25.378087,14.119207,11.258878,1.783785,78.319014,8.426753,7.119722,94.092395,0.807338383483819,0.10397015511341,0.0886914243884588,0.832362849303602,0.0895582793912303,0.0756673480359385
"2017",68.448418,8.418968,7.504596,84.371981,25.45785,17.945598,7.51225,2.017479,77.907116,8.418968,7.383484,93.901711,0.81126953745462,0.0997839318244762,0.0889465425731796,0.829666628758234,0.0896572374490599,0.0786299197466168
"2018",75.78047,8.438068,7.744197,91.962732,24.833273,21.223655,3.609618,1.832499,81.280541,8.438068,7.534557,97.40485,0.824034566524187,0.0917552993097247,0.0842101667879984,0.834460922633729,0.0866288280306371,0.0773529962830393
"2019",81.39889,8.451852,7.752817,97.603559,22.865227,23.475568,-0.610342,-0.38978,80.424543,8.451852,7.593826,96.60344,0.833974609470952,0.0865936866093172,0.079431703919731,0.832522558202896,0.0874901763332652,0.0786082358971896
"2020",76.145105,8.251074,7.465202,91.861381,19.988062,23.463924,-3.47586,0.466874,73.139366,8.251074,7.300518,88.852396,0.828913131623832,0.0898209226791398,0.081265945697028,0.823155810002017,0.0928627068199714,0.0821645597491822
"2021",77.903131,8.130914,7.807302,93.841345,21.455387,25.071449,-3.616059,3.137619,77.453605,8.130914,7.644252,93.362903,0.830157869114088,0.0866453267480341,0.0831968254504451,0.82959722235715,0.0870893442548589,0.0818767599803532
"2022",82.15732,8.06102,8.307342,98.52568,21.506534,27.332275,-5.825744,2.090739,78.498182,8.06102,8.090852,94.790677,0.833867068971257,0.0818164360804209,0.0843165152475984,0.828121335181518,0.0850402197254061,0.085354934219955
